scientificName;spCode;organismID;towN;vessel;date;mortality;TL;MAT;SEX;DEPTH;DUR;SPEED;TOWMASS;DECKTIME;CLOUD;SEASTATE;WIND;ATEMP;DTEMP
Scyliorhinus canicula;Scanicula;1;8;1;05/03/2021;1;45;1;1;66;2,0834;3,52;299,1462921;30;0,125;0;0;12,14073595;-1,209246314
Scyliorhinus canicula;Scanicula;2;8;1;05/03/2021;1;43;1;1;66;2,0834;3,52;299,1462921;31,53846154;0,125;0;0;12,14073595;-1,209246314
Scyliorhinus canicula;Scanicula;3;8;1;05/03/2021;1;46;1;1;66;2,0834;3,52;299,1462921;33,07692308;0,125;0;0;12,14073595;-1,209246314
Scyliorhinus canicula;Scanicula;4;8;1;05/03/2021;1;44;1;1;66;2,0834;3,52;299,1462921;34,61538462;0,125;0;0;12,14073595;-1,209246314
Scyliorhinus canicula;Scanicula;5;8;1;05/03/2021;1;42,5;1;1;66;2,0834;3,52;299,1462921;36,15384615;0,125;0;0;12,14073595;-1,209246314
Scyliorhinus canicula;Scanicula;6;8;1;05/03/2021;1;43;1;1;66;2,0834;3,52;299,1462921;37,69230769;0,125;0;0;12,14073595;-1,209246314
Scyliorhinus canicula;Scanicula;7;8;1;05/03/2021;0;22,3;0;0;66;2,0834;3,52;299,1462921;39,23076923;0,125;0;0;12,14073595;-1,209246314
Scyliorhinus canicula;Scanicula;8;8;1;05/03/2021;1;45,5;1;0;66;2,0834;3,52;299,1462921;40,76923077;0,125;0;0;12,14073595;-1,209246314
Scyliorhinus canicula;Scanicula;9;8;1;05/03/2021;1;43;1;0;66;2,0834;3,52;299,1462921;42,30769231;0,125;0;0;12,14073595;-1,209246314
Scyliorhinus canicula;Scanicula;10;8;1;05/03/2021;1;46;1;1;66;2,0834;3,52;299,1462921;43,84615385;0,125;0;0;12,14073595;-1,209246314
Scyliorhinus canicula;Scanicula;11;9;1;05/03/2021;1;46;1;0;78;2,217;3,685;222,1152389;27;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;12;9;1;05/03/2021;1;47;1;0;78;2,217;3,685;222,1152389;27,83333333;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;13;9;1;05/03/2021;1;44;1;1;78;2,217;3,685;222,1152389;28,66666667;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;14;9;1;05/03/2021;1;44,5;1;0;78;2,217;3,685;222,1152389;29,5;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;15;9;1;05/03/2021;1;47;1;0;78;2,217;3,685;222,1152389;30,33333333;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;16;9;1;05/03/2021;1;45;1;1;78;2,217;3,685;222,1152389;31,16666667;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;17;9;1;05/03/2021;1;43;1;0;78;2,217;3,685;222,1152389;32;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;18;9;1;05/03/2021;1;44;1;0;78;2,217;3,685;222,1152389;32,83333333;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;19;9;1;05/03/2021;1;44;1;1;78;2,217;3,685;222,1152389;33,66666667;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;20;9;1;05/03/2021;1;45;1;1;78;2,217;3,685;222,1152389;34,5;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;21;9;1;05/03/2021;1;50;1;0;78;2,217;3,685;222,1152389;35,33333333;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;22;9;1;05/03/2021;1;44;1;1;78;2,217;3,685;222,1152389;36,16666667;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;23;9;1;05/03/2021;1;44;1;1;78;2,217;3,685;222,1152389;37;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;24;9;1;05/03/2021;1;43;1;0;78;2,217;3,685;222,1152389;37,83333333;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;25;9;1;05/03/2021;1;46;1;1;78;2,217;3,685;222,1152389;38,66666667;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;26;9;1;05/03/2021;1;46,5;1;0;78;2,217;3,685;222,1152389;39,5;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;27;9;1;05/03/2021;1;42;1;1;78;2,217;3,685;222,1152389;40,33333333;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;28;9;1;05/03/2021;1;44;1;1;78;2,217;3,685;222,1152389;41,16666667;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;29;9;1;05/03/2021;1;48;1;0;78;2,217;3,685;222,1152389;42;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;30;9;1;05/03/2021;1;44;1;1;78;2,217;3,685;222,1152389;42,83333333;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;31;9;1;05/03/2021;1;43;1;1;78;2,217;3,685;222,1152389;43,66666667;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;32;9;1;05/03/2021;1;44;1;1;78;2,217;3,685;222,1152389;44,5;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;33;9;1;05/03/2021;1;39;0;1;78;2,217;3,685;222,1152389;45,33333333;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;34;9;1;05/03/2021;1;38;0;0;78;2,217;3,685;222,1152389;46,16666667;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;35;9;1;05/03/2021;1;41;1;1;78;2,217;3,685;222,1152389;47;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;36;9;1;05/03/2021;1;44;1;0;78;2,217;3,685;222,1152389;47,83333333;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;37;9;1;05/03/2021;1;45;1;0;78;2,217;3,685;222,1152389;48,66666667;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;38;9;1;05/03/2021;0;33;0;0;78;2,217;3,685;222,1152389;49,5;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;39;9;1;05/03/2021;1;45;1;0;78;2,217;3,685;222,1152389;50,33333333;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;40;9;1;05/03/2021;1;41;1;0;78;2,217;3,685;222,1152389;51,16666667;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;41;9;1;05/03/2021;1;41;1;1;78;2,217;3,685;222,1152389;52;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;42;9;1;05/03/2021;1;45;1;0;78;2,217;3,685;222,1152389;52,83333333;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;43;9;1;05/03/2021;1;45;1;1;78;2,217;3,685;222,1152389;53,66666667;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;44;9;1;05/03/2021;1;48;1;0;78;2,217;3,685;222,1152389;54,5;0;0;0;11,92365305;-1,565620979
Scyliorhinus canicula;Scanicula;45;10;1;05/03/2021;1;45;1;1;78;2,234;3,62;160,9473178;23;0;0;0;12,14686329;-1,342410738
Scyliorhinus canicula;Scanicula;46;10;1;05/03/2021;1;42;1;0;78;2,234;3,62;160,9473178;24,36363636;0;0;0;12,14686329;-1,342410738
Scyliorhinus canicula;Scanicula;47;10;1;05/03/2021;1;40,1;1;1;78;2,234;3,62;160,9473178;25,72727273;0;0;0;12,14686329;-1,342410738
Scyliorhinus canicula;Scanicula;48;10;1;05/03/2021;1;43;1;1;78;2,234;3,62;160,9473178;27,09090909;0;0;0;12,14686329;-1,342410738
Scyliorhinus canicula;Scanicula;49;10;1;05/03/2021;1;41;1;1;78;2,234;3,62;160,9473178;28,45454545;0;0;0;12,14686329;-1,342410738
Scyliorhinus canicula;Scanicula;50;10;1;05/03/2021;1;42;1;1;78;2,234;3,62;160,9473178;29,81818182;0;0;0;12,14686329;-1,342410738
Scyliorhinus canicula;Scanicula;51;10;1;05/03/2021;1;43;1;1;78;2,234;3,62;160,9473178;31,18181818;0;0;0;12,14686329;-1,342410738
Scyliorhinus canicula;Scanicula;52;10;1;05/03/2021;1;44;1;1;78;2,234;3,62;160,9473178;32,54545455;0;0;0;12,14686329;-1,342410738
Scyliorhinus canicula;Scanicula;53;10;1;05/03/2021;1;44,5;1;1;78;2,234;3,62;160,9473178;33,90909091;0;0;0;12,14686329;-1,342410738
Scyliorhinus canicula;Scanicula;54;10;1;05/03/2021;1;45;1;1;78;2,234;3,62;160,9473178;35,27272727;0;0;0;12,14686329;-1,342410738
Scyliorhinus canicula;Scanicula;55;10;1;05/03/2021;1;47;1;0;78;2,234;3,62;160,9473178;36,63636364;0;0;0;12,14686329;-1,342410738
Scyliorhinus canicula;Scanicula;56;10;1;05/03/2021;1;39;0;1;78;2,234;3,62;160,9473178;38;0;0;0;12,14686329;-1,342410738
Scyliorhinus canicula;Scanicula;57;1;1;02/12/2020;1;42;1;1;70;2,15;3,6;NA;20;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;58;1;1;02/12/2020;1;42;1;1;70;2,15;3,6;NA;20,52272727;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;59;1;1;02/12/2020;1;41;1;1;70;2,15;3,6;NA;21,04545455;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;60;1;1;02/12/2020;1;38;0;1;70;2,15;3,6;NA;21,56818182;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;61;1;1;02/12/2020;1;44;1;1;70;2,15;3,6;NA;22,09090909;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;62;1;1;02/12/2020;1;43;1;1;70;2,15;3,6;NA;22,61363636;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;63;1;1;02/12/2020;1;43;1;1;70;2,15;3,6;NA;23,13636364;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;64;1;1;02/12/2020;1;42;1;1;70;2,15;3,6;NA;23,65909091;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;65;1;1;02/12/2020;1;41;1;1;70;2,15;3,6;NA;24,18181818;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;66;1;1;02/12/2020;1;44;1;1;70;2,15;3,6;NA;24,70454545;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;67;1;1;02/12/2020;1;46;1;1;70;2,15;3,6;NA;25,22727273;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;68;1;1;02/12/2020;1;42;1;1;70;2,15;3,6;NA;25,75;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;69;1;1;02/12/2020;1;48;1;1;70;2,15;3,6;NA;26,27272727;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;70;1;1;02/12/2020;1;43;1;1;70;2,15;3,6;NA;26,79545455;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;71;1;1;02/12/2020;1;43;1;1;70;2,15;3,6;NA;27,31818182;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;72;1;1;02/12/2020;1;46;1;1;70;2,15;3,6;NA;27,84090909;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;73;1;1;02/12/2020;1;41;1;1;70;2,15;3,6;NA;28,36363636;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;74;1;1;02/12/2020;1;43;1;1;70;2,15;3,6;NA;28,88636364;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;75;1;1;02/12/2020;1;41;1;1;70;2,15;3,6;NA;29,40909091;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;76;1;1;02/12/2020;1;40,5;1;1;70;2,15;3,6;NA;29,93181818;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;77;1;1;02/12/2020;1;41;1;1;70;2,15;3,6;NA;30,45454545;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;78;1;1;02/12/2020;1;43;1;1;70;2,15;3,6;NA;30,97727273;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;79;1;1;02/12/2020;1;46;1;1;70;2,15;3,6;NA;31,5;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;80;1;1;02/12/2020;1;42;1;1;70;2,15;3,6;NA;32,02272727;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;81;1;1;02/12/2020;1;43;1;1;70;2,15;3,6;NA;32,54545455;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;82;1;1;02/12/2020;1;42;1;1;70;2,15;3,6;NA;33,06818182;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;83;1;1;02/12/2020;1;43;1;1;70;2,15;3,6;NA;33,59090909;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;84;1;1;02/12/2020;1;40,2;1;1;70;2,15;3,6;NA;34,11363636;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;85;1;1;02/12/2020;1;42;1;1;70;2,15;3,6;NA;34,63636364;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;86;1;1;02/12/2020;1;39;0;1;70;2,15;3,6;NA;35,15909091;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;87;1;1;02/12/2020;1;41;1;1;70;2,15;3,6;NA;35,68181818;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;88;1;1;02/12/2020;1;43;1;1;70;2,15;3,6;NA;36,20454545;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;89;1;1;02/12/2020;1;40;0;1;70;2,15;3,6;NA;36,72727273;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;90;1;1;02/12/2020;1;42;1;1;70;2,15;3,6;NA;37,25;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;91;1;1;02/12/2020;1;42;1;1;70;2,15;3,6;NA;37,77272727;1;6;8;12,73071163;-4,367341348
Scyliorhinus canicula;Scanicula;92;2;1;02/12/2020;1;46;1;1;68;1,6;3,52;119,012366;16;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;93;2;1;02/12/2020;1;36;0;1;68;1,6;3,52;119,012366;16,6;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;94;2;1;02/12/2020;1;41;1;1;68;1,6;3,52;119,012366;17,2;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;95;2;1;02/12/2020;1;43;1;1;68;1,6;3,52;119,012366;17,8;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;96;2;1;02/12/2020;1;40;1;1;68;1,6;3,52;119,012366;18,4;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;97;2;1;02/12/2020;1;43;1;1;68;1,6;3,52;119,012366;19;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;98;2;1;02/12/2020;1;43;1;1;68;1,6;3,52;119,012366;19,6;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;99;2;1;02/12/2020;1;44;1;1;68;1,6;3,52;119,012366;20,2;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;100;2;1;02/12/2020;1;45;1;1;68;1,6;3,52;119,012366;20,8;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;101;2;1;02/12/2020;1;45;1;1;68;1,6;3,52;119,012366;21,4;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;102;2;1;02/12/2020;1;42;1;1;68;1,6;3,52;119,012366;22;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;103;2;1;02/12/2020;1;47;1;1;68;1,6;3,52;119,012366;22,6;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;104;2;1;02/12/2020;1;41;1;1;68;1,6;3,52;119,012366;23,2;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;105;2;1;02/12/2020;1;44;1;1;68;1,6;3,52;119,012366;23,8;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;106;2;1;02/12/2020;1;43;1;1;68;1,6;3,52;119,012366;24,4;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;107;2;1;02/12/2020;1;41;1;1;68;1,6;3,52;119,012366;25;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;108;2;1;02/12/2020;1;46;1;1;68;1,6;3,52;119,012366;25,6;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;109;2;1;02/12/2020;1;41;1;1;68;1,6;3,52;119,012366;26,2;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;110;2;1;02/12/2020;1;43;1;1;68;1,6;3,52;119,012366;26,8;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;111;2;1;02/12/2020;1;43;1;1;68;1,6;3,52;119,012366;27,4;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;112;2;1;02/12/2020;1;46;1;1;68;1,6;3,52;119,012366;28;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;113;2;1;02/12/2020;1;40;0;1;68;1,6;3,52;119,012366;28,6;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;114;2;1;02/12/2020;1;42;1;1;68;1,6;3,52;119,012366;29,2;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;115;2;1;02/12/2020;1;44;1;1;68;1,6;3,52;119,012366;29,8;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;116;2;1;02/12/2020;1;41;1;1;68;1,6;3,52;119,012366;30,4;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;117;2;1;02/12/2020;1;42;1;1;68;1,6;3,52;119,012366;31;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;118;2;1;02/12/2020;1;43;1;1;68;1,6;3,52;119,012366;31,6;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;119;2;1;02/12/2020;1;43;1;1;68;1,6;3,52;119,012366;32,2;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;120;2;1;02/12/2020;1;41;1;1;68;1,6;3,52;119,012366;32,8;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;121;2;1;02/12/2020;1;41;1;1;68;1,6;3,52;119,012366;33,4;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;122;2;1;02/12/2020;1;41;1;1;68;1,6;3,52;119,012366;34;1;4;5;13,60868795;-3,497255726
Scyliorhinus canicula;Scanicula;123;3;1;02/12/2020;1;41;1;1;66;1,516;3,515;NA;12,4;1;3;4;13,75594599;-3,864121601
Scyliorhinus canicula;Scanicula;124;3;1;02/12/2020;1;41;1;1;66;1,516;3,515;NA;13,23333333;1;3;4;13,75594599;-3,864121601
Scyliorhinus canicula;Scanicula;125;3;1;02/12/2020;1;41;1;1;66;1,516;3,515;NA;14,06666667;1;3;4;13,75594599;-3,864121601
Scyliorhinus canicula;Scanicula;126;3;1;02/12/2020;1;43;1;1;66;1,516;3,515;NA;14,9;1;3;4;13,75594599;-3,864121601
Scyliorhinus canicula;Scanicula;127;3;1;02/12/2020;1;43;1;1;66;1,516;3,515;NA;15,73333333;1;3;4;13,75594599;-3,864121601
Scyliorhinus canicula;Scanicula;128;3;1;02/12/2020;1;45;1;1;66;1,516;3,515;NA;16,56666667;1;3;4;13,75594599;-3,864121601
Scyliorhinus canicula;Scanicula;129;3;1;02/12/2020;1;42;1;1;66;1,516;3,515;NA;17,4;1;3;4;13,75594599;-3,864121601
Scyliorhinus canicula;Scanicula;130;3;1;02/12/2020;1;44;1;1;66;1,516;3,515;NA;18,23333333;1;3;4;13,75594599;-3,864121601
Scyliorhinus canicula;Scanicula;131;3;1;02/12/2020;1;44;1;1;66;1,516;3,515;NA;19,06666667;1;3;4;13,75594599;-3,864121601
Scyliorhinus canicula;Scanicula;132;3;1;02/12/2020;1;44;1;1;66;1,516;3,515;NA;19,9;1;3;4;13,75594599;-3,864121601
Scyliorhinus canicula;Scanicula;133;3;1;02/12/2020;1;41;1;1;66;1,516;3,515;NA;20,73333333;1;3;4;13,75594599;-3,864121601
Scyliorhinus canicula;Scanicula;134;3;1;02/12/2020;1;41;1;1;66;1,516;3,515;NA;21,56666667;1;3;4;13,75594599;-3,864121601
Scyliorhinus canicula;Scanicula;135;3;1;02/12/2020;1;40,1;1;1;66;1,516;3,515;NA;22,4;1;3;4;13,75594599;-3,864121601
Scyliorhinus canicula;Scanicula;136;3;1;02/12/2020;1;43;1;1;66;1,516;3,515;NA;23,23333333;1;3;4;13,75594599;-3,864121601
Scyliorhinus canicula;Scanicula;137;3;1;02/12/2020;1;40,1;1;1;66;1,516;3,515;NA;24,06666667;1;3;4;13,75594599;-3,864121601
Scyliorhinus canicula;Scanicula;138;47;5;27/10/2021;1;43,8;1;1;610;1,134;2,6;NA;21;0,75;1;1;19,17579754;5,881932337
Scyliorhinus canicula;Scanicula;139;47;5;27/10/2021;1;42;1;1;610;1,134;2,6;NA;21,8;0,75;1;1;19,17579754;5,881932337
Scyliorhinus canicula;Scanicula;140;24;1;13/05/2021;1;44;1;0;69;1,934;3,6;275,33;69;0,25;1;2;16,89205041;2,941232347
Scyliorhinus canicula;Scanicula;141;24;1;13/05/2021;1;43;1;0;69;1,934;3,6;275,33;69,63636364;0,25;1;2;16,89205041;2,941232347
Scyliorhinus canicula;Scanicula;142;24;1;13/05/2021;1;45;1;0;69;1,934;3,6;275,33;70,27272727;0,25;1;2;16,89205041;2,941232347
Scyliorhinus canicula;Scanicula;143;24;1;13/05/2021;1;44;1;1;69;1,934;3,6;275,33;70,90909091;0,25;1;2;16,89205041;2,941232347
Scyliorhinus canicula;Scanicula;144;24;1;13/05/2021;1;45;1;1;69;1,934;3,6;275,33;71,54545455;0,25;1;2;16,89205041;2,941232347
Scyliorhinus canicula;Scanicula;145;24;1;13/05/2021;1;43;1;1;69;1,934;3,6;275,33;72,18181818;0,25;1;2;16,89205041;2,941232347
Scyliorhinus canicula;Scanicula;146;24;1;13/05/2021;1;44;1;1;69;1,934;3,6;275,33;72,81818182;0,25;1;2;16,89205041;2,941232347
Scyliorhinus canicula;Scanicula;147;24;1;13/05/2021;1;43;1;0;69;1,934;3,6;275,33;73,45454545;0,25;1;2;16,89205041;2,941232347
Scyliorhinus canicula;Scanicula;148;24;1;13/05/2021;1;44;1;0;69;1,934;3,6;275,33;74,09090909;0,25;1;2;16,89205041;2,941232347
Scyliorhinus canicula;Scanicula;149;24;1;13/05/2021;1;44;1;0;69;1,934;3,6;275,33;74,72727273;0,25;1;2;16,89205041;2,941232347
Scyliorhinus canicula;Scanicula;150;24;1;13/05/2021;1;45;1;0;69;1,934;3,6;275,33;75,36363636;0,25;1;2;16,89205041;2,941232347
Scyliorhinus canicula;Scanicula;151;24;1;13/05/2021;1;42,5;1;1;69;1,934;3,6;275,33;76;0,25;1;2;16,89205041;2,941232347
Scyliorhinus canicula;Scanicula;152;24;1;13/05/2021;1;41;1;1;69;1,934;3,6;275,33;76,63636364;0,25;1;2;16,89205041;2,941232347
Scyliorhinus canicula;Scanicula;153;24;1;13/05/2021;1;43;1;1;69;1,934;3,6;275,33;77,27272727;0,25;1;2;16,89205041;2,941232347
Scyliorhinus canicula;Scanicula;154;24;1;13/05/2021;1;44;1;1;69;1,934;3,6;275,33;77,90909091;0,25;1;2;16,89205041;2,941232347
Scyliorhinus canicula;Scanicula;155;24;1;13/05/2021;1;42;1;1;69;1,934;3,6;275,33;78,54545455;0,25;1;2;16,89205041;2,941232347
Scyliorhinus canicula;Scanicula;156;24;1;13/05/2021;1;44;1;1;69;1,934;3,6;275,33;79,18181818;0,25;1;2;16,89205041;2,941232347
Scyliorhinus canicula;Scanicula;157;24;1;13/05/2021;1;44;1;1;69;1,934;3,6;275,33;79,81818182;0,25;1;2;16,89205041;2,941232347
Scyliorhinus canicula;Scanicula;158;24;1;13/05/2021;1;44;1;1;69;1,934;3,6;275,33;80,45454545;0,25;1;2;16,89205041;2,941232347
Scyliorhinus canicula;Scanicula;159;24;1;13/05/2021;1;44;1;1;69;1,934;3,6;275,33;81,09090909;0,25;1;2;16,89205041;2,941232347
Scyliorhinus canicula;Scanicula;160;24;1;13/05/2021;1;44;1;1;69;1,934;3,6;275,33;81,72727273;0,25;1;2;16,89205041;2,941232347
Scyliorhinus canicula;Scanicula;161;24;1;13/05/2021;1;44;1;1;69;1,934;3,6;275,33;82,36363636;0,25;1;2;16,89205041;2,941232347
